Id,Manufacturer,Model,Prod_Year,Category,Leather_Interioe,Fuel_Type,Engine Volume,Kilometers_Driven,Gear_Box_Type,Drive_Wheel,Selling_Date,Wheel,Color,Airbags,Price
45794879,VAZ,2121 (Niva),1998,Jeep,No,Petrol,1.7,50000,Manual,4x4,02-03-2023,Left wheel,Green,,56450
45815524,HYUNDAI,Tucson,2012,Jeep,Yes,Petrol,2.4,159000,Automatic,Front,02-03-2023,Left wheel,Black,10,250890
45778114,MITSUBISHI,Delica,1996,Minivan,No,Diesel,2.8 Turbo,160000,Automatic,4x4,02-03-2023,Right-hand drive,Green,1,153670
45808689,VAZ,2121 (Niva),1997,Jeep,No,Petrol,1.7,200000,Manual,4x4,02-03-2023,Left wheel,Green,,69000
45768642,JEEP,Wrangler,2013,Jeep,No,Petrol,3.6,37500,Manual,4x4,02-03-2023,Left wheel,Silver,4,470420
45781677,MITSUBISHI,Pajero,1993,Jeep,No,CNG,3,,Manual,4x4,02-03-2023,Left wheel,Grey,,75270
45770838,MERCEDES-BENZ,Smart,2004,Cabriolet,No,Diesel,0.8 Turbo,22000,Tiptronic,Rear,02-03-2023,Left wheel,Black,2,62720
45808858,DAIHATSU,Feroza,1994,Jeep,No,Petrol,1.6,100000,Manual,4x4,02-03-2023,Left wheel,Green,,25000
45800989,MITSUBISHI,Pajero,1999,Jeep,No,Petrol,1.8,,Automatic,4x4,02-03-2023,Left wheel,Blue,2,28220
45790271,HYUNDAI,Santa FE,2014,Jeep,Yes,Petrol,2.0 Turbo,15000,Tiptronic,Front,02-03-2023,Left wheel,Brown,,354380
45801041,TOYOTA,Land Cruiser Prado RX,1997,Jeep,No,Petrol,2.7,213700,Automatic,4x4,02-03-2023,Right-hand drive,Green,2,163080
45765367,VOLKSWAGEN,Golf,1997,Sedan,No,Petrol,1.8,,Manual,Front,02-03-2023,Left wheel,Blue,2,40000
45770544,HONDA,Elysion,2004,Minivan,No,Petrol,3,323000,Automatic,Front,02-03-2023,Right-hand drive,Grey,4,87000
44802910,JEEP,Wrangler,1993,Jeep,Yes,Petrol,4,,Manual,4x4,02-03-2023,Left wheel,White,0,203850
45781829,MITSUBISHI,Pajero,1996,Jeep,No,CNG,2.4,198000,Automatic,4x4,02-03-2023,Left wheel,Blue,2,94080
45769995,FIAT,500,2012,Sedan,Yes,Petrol,1.4,137600,Manual,Front,02-03-2023,Left wheel,Brown,8,141130
45787352,MERCEDES-BENZ,Vito,2008,Minivan,No,Diesel,2.2 Turbo,198700,Manual,Rear,02-03-2023,Left wheel,White,6,170000
45787171,MERCEDES-BENZ,Vito,1999,Minivan,No,Diesel,2.3,5555551,Manual,Front,02-03-2023,Left wheel,White,1,62720
45788301,HYUNDAI,Veloster,2013,Sedan,Yes,Petrol,1.6 Turbo,114000,Tiptronic,Front,02-03-2023,Left wheel,Black,8,166210
45814853,TOYOTA,Land Cruiser Prado,2008,Jeep,Yes,Diesel,3.0 Turbo,170000,Tiptronic,4x4,02-03-2023,Left wheel,Silver,,470420
45610411,FORD,Mustang cabrio,2014,Cabriolet,No,Petrol,3.7,111431,Automatic,Rear,02-03-2023,Left wheel,Grey,10,213260
45781892,MITSUBISHI,Eclipse,1998,Cabriolet,No,Petrol,2.4,214400,Automatic,Front,02-03-2023,Left wheel,Black,0,47040
45777489,VAZ,2121 (Niva),1999,Jeep,No,Petrol,1.7,10000,Manual,4x4,02-03-2023,Left wheel,White,0,33000
45756731,GAZ,322173,1996,Jeep,Yes,Petrol,2.8,215852,Manual,Rear,02-03-2023,Left wheel,Yellow,15,78400
45787506,MITSUBISHI,Pajero,2003,Jeep,No,Petrol,0.7 Turbo,150000,Automatic,4x4,02-03-2023,Right-hand drive,Black,2,73700
45654403,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005,Automatic,4x4,04-05-2023,Left wheel,Silver,,133280
44731507,CHEVROLET,Equinox,2011,Jeep,No,Petrol,3,192000,Tiptronic,4x4,04-05-2023,Left wheel,Black,8,166210
45769185,FORD,Escape,2011,Jeep,Yes,Hybrid,2.5,168966,Automatic,4x4,04-05-2023,Left wheel,White,0,36070
45802912,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,160931,Automatic,Front,04-05-2023,Left wheel,White,4,394930
45756839,LEXUS,RX 350,2007,Jeep,Yes,Petrol,3.5,128500,Automatic,4x4,04-05-2023,Left wheel,Silver,,266570
45732604,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,76000,Automatic,Front,04-05-2023,Left wheel,White,4,594640
45772281,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,121840,Automatic,Front,04-05-2023,Left wheel,Blue,12,76830
45797221,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,54317,Automatic,Front,04-05-2023,Left wheel,White,,283820
45801686,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,112645,Automatic,Front,04-05-2023,Left wheel,Silver,,188260
45168471,TOYOTA,Prius,2012,Sedan,Yes,Hybrid,1.8,187000,Automatic,Front,04-05-2023,Left wheel,White,12,206980
45751951,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,39709,Automatic,Front,04-05-2023,Left wheel,Black,12,175620
45782859,MERCEDES-BENZ,E 220,2006,Sedan,Yes,Diesel,2.2 Turbo,210000,Tiptronic,Rear,04-05-2023,Left wheel,Black,8,203850
45801525,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,,Automatic,Front,04-05-2023,Left wheel,Silver,,144540
45768550,TOYOTA,Highlander,2009,Jeep,Yes,Hybrid,3.3,420550,Automatic,4x4,04-05-2023,Left wheel,Blue,12,120740
45760983,PORSCHE,Cayenne,2014,Jeep,Yes,Diesel,3,175056,Automatic,4x4,04-05-2023,Left wheel,White,12,194440
45790136,BMW,X5,2000,Jeep,Yes,CNG,4.4,200000,Automatic,4x4,04-05-2023,Left wheel,Silver,6,68990
45542380,JEEP,Grand Cherokee,2007,Jeep,Yes,Diesel,3.0 Turbo,250000,Tiptronic,4x4,04-05-2023,Left wheel,Black,10,244620
45732374,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,2,162000,Automatic,Front,04-05-2023,Left wheel,Grey,,232350
45369569,TOYOTA,CHR Limited,2019,Jeep,No,Petrol,2,10200,Tiptronic,Front,04-05-2023,Left wheel,Red,12,517460
45801668,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,103490,Automatic,Front,04-05-2023,Left wheel,Silver,4,191210
45815051,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.4,203200,Automatic,Front,04-05-2023,Left wheel,Blue,4,244620
45667253,VOLKSWAGEN,Jetta,2016,Sedan,Yes,Petrol,1.4 Turbo,11200,Tiptronic,Front,04-05-2023,Left wheel,Black,8,201650
45108412,HYUNDAI,Sonata,2014,Sedan,Yes,Hybrid,2.4,141000,Tiptronic,Front,04-05-2023,Left wheel,White,12,213260
45732544,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,2,100734,Automatic,Front,04-05-2023,Left wheel,Black,4,553900
45699930,FORD,Escape Hybrid,2008,Jeep,No,Hybrid,2.3,147000,Tiptronic,4x4,04-05-2023,Left wheel,White,8,172490
45809839,HONDA,Civic,2016,Sedan,Yes,Petrol,2,87768,Automatic,Front,04-05-2023,Left wheel,Blue,4,348890
45802148,RENAULT,Megane 1.5CDI,2008,Sedan,No,Diesel,1.5 Turbo,132542,Manual,Front,04-05-2023,Left wheel,White,10,145830
44153312,AUDI,Q5,2014,Jeep,Yes,Petrol,2,87000,Tiptronic,4x4,04-05-2023,Left wheel,White,12,385000
44679525,CHEVROLET,Cruze LT,2018,Sedan,No,Petrol,1.4 Turbo,22000,Automatic,Front,04-05-2023,Left wheel,Red,6,235210
45418626,FORD,Fusion,2013,Sedan,No,Petrol,1.6 Turbo,83000,Tiptronic,Front,04-05-2023,Left wheel,Silver,8,169350
45323316,TOYOTA,VOXY,2007,Minivan,Yes,Petrol,2.4,170000,Automatic,Front,04-05-2023,Right-hand drive,Black,6,103490
45778144,MERCEDES-BENZ,A 160,2004,Sedan,No,Petrol,1.6,130000,Tiptronic,Front,04-05-2023,Left wheel,Black,6,53310
45803923,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,2,200279,Automatic,Front,04-05-2023,Left wheel,Grey,4,205260
45803550,HYUNDAI,Sonata,2015,Sedan,Yes,CNG,2,719847,Automatic,Front,04-05-2023,Left wheel,Orange,4,97220
45802190,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,154672,Automatic,Front,04-05-2023,Left wheel,Silver,4,346570
45802203,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,110969,Automatic,Front,04-05-2023,Left wheel,Black,4,365640
45809414,CHEVROLET,Captiva,2011,Jeep,Yes,Diesel,2.2,,Automatic,Front,04-05-2023,Left wheel,Silver,4,158000
45732043,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,84506,Automatic,Front,04-05-2023,Left wheel,Silver,4,531540
45814804,MERCEDES-BENZ,ML 350,2014,Jeep,Yes,Petrol,3.5,94362,Automatic,Rear,04-05-2023,Left wheel,White,12,37630
45787521,TOYOTA,Prius,2012,Sedan,No,Petrol,1.8,175000,Automatic,Front,04-05-2023,Left wheel,Silver,8,181890
45648538,TOYOTA,Highlander,2010,Jeep,Yes,Hybrid,3.3,264877,Automatic,4x4,04-05-2023,Left wheel,White,12,56450
45757322,TOYOTA,Yaris,2019,Sedan,Yes,Petrol,1.5,27656,Automatic,Front,04-05-2023,Left wheel,White,12,75270
45800993,HONDA,Civic,2014,Sedan,No,Hybrid,1.4,16000,Automatic,4x4,04-05-2023,Right-hand drive,White,10,219530
45771208,TOYOTA,Camry,2012,Sedan,No,Petrol,2.5,195053,Automatic,Front,04-05-2023,Left wheel,Black,0,219530
45801684,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,121362,Automatic,Front,04-05-2023,Left wheel,Black,4,191210
45732386,HYUNDAI,Santa FE,2014,Jeep,Yes,Diesel,2,69191,Automatic,Front,04-05-2023,Left wheel,White,4,360650
45810403,CHEVROLET,Cruze,2010,Sedan,Yes,Petrol,1.8,40772,Automatic,Front,04-05-2023,Left wheel,Black,4,62470
45810513,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,2,172000,Automatic,Front,04-05-2023,Left wheel,Grey,4,162890
45807330,MERCEDES-BENZ,GL 63 AMG,2014,Jeep,Yes,Petrol,5.5,433811,Automatic,4x4,04-05-2023,Left wheel,Black,10,777750
45733554,BMW,520 Vanos,1995,Sedan,Yes,Petrol,2,350000,Manual,Rear,04-05-2023,Left wheel,Blue,2,28220
45744824,DAEWOO,Lacetti,2008,Sedan,Yes,Petrol,2,103246,Automatic,Front,04-05-2023,Left wheel,Black,4,69810
45792882,HYUNDAI,Elantra,2016,Sedan,No,Petrol,2,105394,Tiptronic,Front,04-05-2023,Left wheel,Black,12,272840
45776745,NISSAN,Patrol,1990,Jeep,No,Diesel,2.8 Turbo,333333,Manual,Rear,04-05-2023,Left wheel,Black,0,188170
45789555,MERCEDES-BENZ,E 320,2004,Sedan,Yes,Petrol,3.2,214000,Tiptronic,Rear,04-05-2023,Left wheel,Grey,8,150530
45809760,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,80827,Automatic,Front,04-05-2023,Left wheel,Green,12,29010
44094036,FORD,Focus SE,2015,Sedan,No,Petrol,2,91200,Automatic,Front,04-05-2023,Left wheel,Sky blue,10,128580
45783859,BMW,328,2008,Sedan,Yes,CNG,3,210408,Tiptronic,Rear,04-05-2023,Left wheel,White,12,150000
45808992,FORD,Explorer,2017,Jeep,Yes,Petrol,2.3,100567,Automatic,Front,04-05-2023,Left wheel,Black,4,855530
45797948,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,122740,Automatic,Front,04-05-2023,Left wheel,White,4,171580
45726679,SSANGYONG,Korando,2013,Jeep,Yes,Diesel,2,85704,Automatic,Front,04-05-2023,Left wheel,Silver,0,255910
45803059,HYUNDAI,Santa FE,2010,Jeep,Yes,Diesel,2,58962,Automatic,Front,04-05-2023,Left wheel,White,0,148970
45770405,TOYOTA,Camry,2013,Sedan,Yes,Hybrid,2.5,90000,Tiptronic,Front,04-05-2023,Left wheel,White,,235210
45733244,HYUNDAI,Sonata,2014,Sedan,Yes,CNG,2,346470,Automatic,Front,04-05-2023,Left wheel,Silver,4,116040
45802837,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,59515,Automatic,Front,04-05-2023,Left wheel,Blue,4,519650
45801896,MERCEDES-BENZ,C 220,1999,Sedan,No,Diesel,2.2 Turbo,111111,Manual,Rear,04-05-2023,Left wheel,Silver,4,94080
45797732,HYUNDAI,H1,2008,Minivan,Yes,Diesel,2.5,74444,Automatic,Front,04-05-2023,Left wheel,Yellow,4,133280
45762683,NISSAN,Serena,2012,Minivan,No,Petrol,2,143000,Tiptronic,Front,04-05-2023,Right-hand drive,White,12,178760
45732074,TOYOTA,RAV 4,2008,Jeep,No,Petrol,2.4,135000,Automatic,4x4,04-05-2023,Left wheel,Silver,8,200710
45731782,HYUNDAI,H1,2011,Minivan,Yes,Diesel,2.5,124444,Automatic,Front,04-05-2023,Left wheel,Yellow,4,228940
44698379,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,130000,Tiptronic,Front,04-05-2023,Left wheel,Black,6,186600
45770233,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,50930,Automatic,Rear,04-05-2023,Left wheel,Black,12,225800
45810339,GMC,TERRAIN,2013,Jeep,Yes,Petrol,2.4,138958,Automatic,Front,04-05-2023,Left wheel,Black,12,54880
45642844,TOYOTA,Camry,2018,Sedan,Yes,Hybrid,2.5,35058,Automatic,Front,04-05-2023,Left wheel,White,12,188170
44921934,HONDA,Hr-v EX,2015,Jeep,No,Petrol,1.8,33330,Automatic,4x4,04-05-2023,Left wheel,Grey,8,211690
45451626,HYUNDAI,Elantra sport limited,2013,Sedan,Yes,Petrol,1.8,,Tiptronic,Front,04-05-2023,Left wheel,Grey,12,178760
45732976,HYUNDAI,Sonata,2016,Sedan,Yes,CNG,2,279787,Automatic,Front,04-05-2023,Left wheel,Silver,4,112900
44452971,TOYOTA,Sienna,2010,Minivan,Yes,Petrol,3.5,227200,Tiptronic,Front,04-05-2023,Left wheel,White,16,360650
45733140,HYUNDAI,Sonata,2016,Sedan,Yes,CNG,2,258706,Automatic,Front,04-05-2023,Left wheel,Silver,4,156810
45807577,LEXUS,NX 300,2018,Jeep,Yes,Petrol,2.0 Turbo,18918,Tiptronic,Front,04-05-2023,Left wheel,Black,6,721300
45729867,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2,137267,Automatic,Front,04-05-2023,Left wheel,Silver,4,359270
45801397,TOYOTA,Prius,2014,Sedan,No,Hybrid,1.8,160000,Automatic,4x4,04-05-2023,Left wheel,White,4,210120
45765622,TOYOTA,Tacoma,2018,Sedan,Yes,Petrol,3.5,27358,Automatic,Front,04-05-2023,Left wheel,Grey,12,210120
45781785,KIA,Carnival grand,2009,Minivan,Yes,Diesel,2.9,84176,Automatic,Front,04-05-2023,Left wheel,White,6,131720
45811318,OPEL,Vectra,1997,Sedan,No,Petrol,1.6,15000,Manual,Front,04-05-2023,Left wheel,Beige,2,45470
45751101,INFINITI,QX60,2015,Jeep,Yes,Petrol,3.5,124154,Automatic,4x4,04-05-2023,Left wheel,Black,12,54880
45801611,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,104997,Automatic,Front,04-05-2023,Left wheel,White,4,200050
45792460,VOLKSWAGEN,Passat,2017,Sedan,Yes,Petrol,1.8,27728,Tiptronic,Front,04-05-2023,Left wheel,Silver,8,361100
45798511,MERCEDES-BENZ,E 240 E 240,1998,Sedan,Yes,Petrol,2.4,777777,Manual,Rear,04-05-2023,Left wheel,Blue,0,78400
45802937,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,113700,Automatic,Front,04-05-2023,Left wheel,Silver,0,438800
45675386,MERCEDES-BENZ,C 250,2014,Sedan,Yes,Petrol,1.8 Turbo,69000,Tiptronic,Rear,04-05-2023,Left wheel,Grey,8,294790
45795520,TOYOTA,Camry,2011,Sedan,Yes,Hybrid,2.5,152000,Tiptronic,Front,04-05-2023,Left wheel,White,12,172490
45802938,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,50255,Automatic,Front,04-05-2023,Left wheel,Red,4,442130
45801304,BMW,325,2001,Sedan,Yes,Petrol,2.5,252800,Manual,Rear,04-05-2023,Left wheel,Grey,6,84670
45766275,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,156992,Automatic,Front,04-05-2023,Left wheel,Black,12,31360
45805913,MITSUBISHI,Pajero,1998,Jeep,No,Petrol,3.5 Turbo,11000,Tiptronic,4x4,04-05-2023,Right-hand drive,Silver,,94080
45793479,NISSAN,Pathfinder,2010,Jeep,Yes,CNG,4,90200,Tiptronic,4x4,04-05-2023,Left wheel,Black,12,315000
43390500,MITSUBISHI,Delica,2005,Minivan,Yes,Petrol,3,184000,Automatic,4x4,04-05-2023,Right-hand drive,White,12,203850
45787317,TOYOTA,Camry Se,2018,Sedan,Yes,Petrol,2.5,25000,Tiptronic,Front,04-05-2023,Left wheel,Blue,12,564500
45788160,HONDA,Cr-v,2002,Jeep,No,Petrol,2.4,260000,Automatic,4x4,04-05-2023,Left wheel,Silver,6,131720
45773662,MERCEDES-BENZ,E 350,2013,Sedan,Yes,Diesel,3.5,107800,Automatic,Rear,04-05-2023,Left wheel,Grey,12,58020
45767823,TOYOTA,Camry,2014,Sedan,No,Petrol,2.5,115200,Automatic,Front,04-05-2023,Left wheel,Silver,8,257160
45810599,CHEVROLET,Orlando,2012,Jeep,Yes,CNG,2,132036,Automatic,Front,04-05-2023,Left wheel,White,,144260
45808960,FORD,Explorer,2011,Jeep,Yes,Petrol,3.5,129177,Automatic,Front,04-05-2023,Left wheel,White,,454360
45802892,HYUNDAI,Santa FE,2015,Jeep,Yes,Diesel,2,185811,Automatic,Front,04-05-2023,Left wheel,Black,,412810
45805683,NISSAN,Altima,1998,Sedan,No,Petrol,2.4,,Manual,Front,04-05-2023,Left wheel,Brown,2,43910
45810372,PORSCHE,Cayenne,2018,Sedan,Yes,Petrol,3.6,28968,Automatic,4x4,04-05-2023,Left wheel,White,12,30580
45803832,HYUNDAI,Tucson,2014,Jeep,Yes,Diesel,2,120000,Automatic,Front,04-05-2023,Left wheel,White,4,300630
44782223,TOYOTA,RAV 4 XLE Sport,2013,Jeep,No,Petrol,2.5,120000,Tiptronic,Front,04-05-2023,Left wheel,White,0,366920
45761984,TOYOTA,Sienta,2004,Sedan,No,Petrol,1.5,300000,Tiptronic,Front,04-05-2023,Right-hand drive,Beige,4,31360
45783494,TOYOTA,Prius,2009,Sedan,Yes,Hybrid,1.8,230000,Tiptronic,Front,04-05-2023,Left wheel,Grey,6,106630
41704944,MERCEDES-BENZ,CLS 550,2010,Sedan,Yes,Petrol,5.5,157000,Automatic,Front,04-05-2023,Left wheel,Grey,10,191300
45781861,VOLKSWAGEN,Passat,2013,Sedan,Yes,Diesel,2.0 Turbo,179200,Tiptronic,Front,04-05-2023,Left wheel,White,16,153670
45768489,CHEVROLET,Avalanche,2011,Sedan,Yes,Petrol,5.3,246976,Automatic,Front,04-05-2023,Left wheel,Black,12,59590
45731459,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,179918,Automatic,Front,04-05-2023,Left wheel,Silver,4,265940
45536422,TOYOTA,Avalon LIMITED,2013,Sedan,Yes,Hybrid,2.5,92200,Tiptronic,Front,04-05-2023,Left wheel,Beige,12,360650
45742092,KIA,Cerato K3,2016,Sedan,Yes,Diesel,1.6 Turbo,29000,Tiptronic,Front,04-05-2023,Left wheel,Silver,8,263430
45788888,JEEP,Grand Cherokee,1993,Jeep,No,Petrol,4,240000,Automatic,4x4,04-05-2023,Left wheel,Green,5,60000
45768507,LEXUS,GX 470,2010,Jeep,Yes,Petrol,4.6,357246,Automatic,4x4,04-05-2023,Left wheel,Grey,0,401420
45506452,HYUNDAI,Elantra,2013,Sedan,No,Petrol,1.8,50000,Tiptronic,Front,04-05-2023,Left wheel,Grey,10,140000
45809707,CHEVROLET,Cruze,2014,Sedan,Yes,Petrol,1.4,127842,Automatic,Front,04-05-2023,Left wheel,White,4,179230
45804644,HYUNDAI,Tucson,2017,Jeep,Yes,Petrol,1.6,40193,Automatic,Front,04-05-2023,Left wheel,Black,4,545180
